review_stage,jmdict_id,term,reading,field_id,kind,source_en,source_ja,current_zh,reviewer_note_unverified
previous_5pct,1409330,体感,たいかん,f37e1821t4,gloss,coenesthesia,,共感,coenesthesia 的中文医学术语可译为机体觉、内感受或一般感觉，旧译‘共感’易与 empathy 混淆，但需统一术语来源后再改；t5、t6 同理。
previous_5pct,1409330,体感,たいかん,f37e1821t5,gloss,cenesthesia,,共感,cenesthesia 的标准简体中文术语存在机体觉、内感受等译法，当前‘共感’疑似不当但无法仅凭本批次确定统一定译。
previous_5pct,1409330,体感,たいかん,f37e1821t6,gloss,coenesthesis,,共感,coenesthesis 与 coenesthesia 同属专业术语，需统一医学词表后确定简体中文译名。
previous_5pct,2849827,ミス,ミス,f196e1406t0,gloss,myth,,神话,英文 myth 与日语词头ミス不一致；旧译符合英文但源词可能有误，无法可靠改动。
previous_5pct,1530180,無条件,むじょうけん,f49e517t1,example,On no account must you touch that switch.,無(む)条(じょう)件(けん)にあなたはそのスイッチに触(さわ)らなければならない。,无论如何，你都必须碰那个开关。,日文例句直译为必须触碰，但英文释义例句为禁止触碰，源文冲突，保留原译并记录疑点。
increment_5_to_20pct,2858049,フレーズ,フレーズ,f204e1065t0,gloss,strawberry,,草莓,日文词头フレーズ通常表示phrase（词组/短语），但该字段英文明确为strawberry、中文为草莓；词头与释义来源明显冲突，无法确定应依哪一条纠正，暂保留原文并标记待查。
increment_5_to_20pct,1591890,斬れ味,きれあじ,f56e964t6,gloss,peppiness (of a ball),,球的弹性,斬れ味用于球类时的 peppiness 似指球的劲道/活性，现译‘弹性’可能偏义；缺少具体球类语境，未能可靠确定对应术语，暂保留。
increment_5_to_20pct,1034130,オカルト,オカルト,f4e155t0,gloss,occult,,神秘,occult 可指神秘学、超自然现象或神秘的，现译‘神秘’较宽泛；缺少该词实际用例以判定此处应限定为哪一义，暂保留。
increment_5_to_20pct,1178980,汚らわしい,けがらわしい,f15e1155t1,gloss,unfair,,不公平的,汚らわしい的主要义为污秽、可憎；部分英文同义词列表列出 unfair，但未给语境确定这里是道德上的不正/卑劣还是‘不公平’，暂保留。
increment_5_to_20pct,1592380,蔵,くら,f56e1137t8,gloss,elevator,,仓库,蔵的英译 elevator 在此应是粮仓/谷物筒仓类设施，而非普通楼宇电梯；现译‘仓库’较泛，具体中文专名需视术语来源确定，暂保留。
