list_position,jmdict_id,term,reading,frequency_rank,matched_frequency_word,matched_frequency_reading,match_kind,normalized_match,homograph_candidate_ids,homograph_ambiguous,high_priority,variant_count,review_group_count,review_field_count,representative_bank,representative_row_index_zero_based
1,1469800,の,の,1,の,の,definition_variant,False,1469800,False,True,1,1,16,term_bank_43.json,1400
2,2028920,は,は,2,は,は,definition_variant,False,2028920;2069620,True,True,1,1,7,term_bank_98.json,684
3,2069620,は,は,2,は,は,definition_variant,False,2028920;2069620,True,False,6,1,8,term_bank_102.json,886
4,2028990,に,に,3,に,に,definition_variant,False,2028990,False,True,1,1,127,term_bank_98.json,693
5,2029010,を,を,4,を,を,definition_variant,False,2029010,False,True,1,1,13,term_bank_98.json,696
6,2028930,が,が,5,が,が,definition_variant,False,2028930;2872273,True,True,1,1,24,term_bank_98.json,685
7,2872273,が,が,5,が,が,definition_variant,False,2028930;2872273,True,False,1,1,5,term_bank_218.json,833
8,1008490,と,と,6,と,と,definition_variant,False,1008490,False,True,1,1,13,term_bank_1.json,1901
9,2028980,で,で,7,で,で,definition_variant,False,2028980;2654270;2844355,True,True,1,1,23,term_bank_98.json,692
10,2654270,で,で,7,で,で,definition_variant,False,2028980;2654270;2844355,True,False,2,2,42,term_bank_157.json,380
11,2844355,で,で,7,で,で,definition_variant,False,2028980;2654270;2844355,True,False,2,1,3,term_bank_191.json,1335
12,2028940,も,も,8,も,も,definition_variant,False,2028940,False,True,1,1,30,term_bank_98.json,688
13,2089020,だ,だ,9,だ,だ,definition_variant,False,2089020;2654250,True,True,1,1,5,term_bank_104.json,649
14,2654250,だ,だ,9,だ,だ,definition_variant,False,2089020;2654250,True,False,2,1,6,term_bank_157.json,378
15,1157170,する,する,10,する,する,definition_variant,False,1157170,False,True,2,2,110,term_bank_13.json,851
16,1002980,から,から,11,から,から,definition_variant,False,1002980,False,True,1,1,91,term_bank_1.json,746
17,2028970,か,か,12,か,か,definition_variant,False,2028970,False,True,1,1,86,term_bank_98.json,691
18,2029090,よ,よ,13,よ,よ,definition_variant,False,2029090,False,True,1,1,12,term_bank_98.json,709
19,2029110,な,な,14,な,な,definition_variant,False,2029110,False,True,4,2,58,term_bank_98.json,711
20,1628500,です,です,15,です,です,definition_variant,False,1628500,False,True,1,1,4,term_bank_61.json,699
21,2524270,こと,こと,16,こと,こと,definition_variant,False,2524270,False,False,1,1,7,term_bank_144.json,1500
22,2029080,ね,ね,17,ね,ね,definition_variant,False,2029080;2841117,True,True,4,4,116,term_bank_98.json,705
23,2841117,ね,ね,17,ね,ね,definition_variant,False,2029080;2841117,True,False,4,1,8,term_bank_188.json,1410
24,2138260,なる,なる,19,なる,なる,definition_variant,False,2138260,False,False,1,1,9,term_bank_109.json,523
25,1006970,それ,それ,20,それ,それ,definition_variant,False,1006970;2216210,True,True,2,1,14,term_bank_1.json,1613
26,2216210,それ,それ,20,それ,それ,definition_variant,False,1006970;2216210,True,False,2,1,7,term_bank_117.json,782
27,2849387,んだ,んだ,21,んだ,んだ,definition_variant,False,2849370;2849387,True,True,2,1,7,term_bank_196.json,596
28,2849370,んだ,んだ,21,んだ,んだ,definition_variant,False,2849370;2849387,True,False,1,1,3,term_bank_196.json,568
29,2086960,って,って,22,って,って,definition_variant,False,2086960,False,True,2,2,56,term_bank_104.json,209
30,2139720,ん,ん,23,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,1,1,17,term_bank_109.json,835
31,2441300,ん,ん,23,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,2,1,3,term_bank_137.json,1262
32,2759530,ん,ん,23,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,3,1,3,term_bank_167.json,609
33,2843960,ん,ん,23,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,2,1,5,term_bank_191.json,620
34,1006830,その,その,24,その,その,definition_variant,False,1006830,False,True,3,1,12,term_bank_1.json,1561
35,1587040,言う,いう,25,言う,いう,definition_variant,False,1587040,False,True,6,2,18,term_bank_55.json,1107
36,1582920,この,この,26,この,この,definition_variant,False,1582920,False,True,4,1,14,term_bank_54.json,1803
37,1006610,そう,そう,27,そう,そう,definition_variant,False,1006610;2137720,True,True,1,1,6,term_bank_1.json,1505
38,2137720,そう,そう,27,そう,そう,definition_variant,False,1006610;2137720,True,True,2,2,32,term_bank_109.json,418
39,1008460,でも,でも,28,でも,でも,definition_variant,False,1008460,False,True,1,1,28,term_bank_1.json,1897
40,1005340,さん,さん,29,さん,さん,definition_variant,False,1005340,False,True,1,1,11,term_bank_1.json,1270
41,2215430,には,には,30,には,には,definition_variant,False,2215430,False,True,1,1,22,term_bank_117.json,625
42,1589350,思う,おもう,31,思う,おもう,definition_variant,False,1589350,False,True,4,4,112,term_bank_55.json,1967
43,1311110,私,わたし,32,私,わたし,definition_variant,False,1311110,False,True,1,1,4,term_bank_28.json,484
44,2820690,いい,いい,33,いい,いい,definition_variant,False,2820690,False,True,1,1,26,term_bank_173.json,791
45,1628530,これ,これ,34,これ,これ,definition_variant,False,1628530;2216120,True,True,6,2,36,term_bank_61.json,705
46,2216120,これ,これ,34,これ,これ,definition_variant,False,1628530;2216120,True,False,1,1,6,term_bank_117.json,765
47,2257550,ない,ない,35,ない,ない,definition_variant,False,2257550;2861097,True,True,1,1,2,term_bank_121.json,1567
48,2861097,ない,ない,35,ない,ない,definition_variant,False,2257550;2861097,True,False,1,1,3,term_bank_207.json,1041
49,2819970,だった,だった,36,だった,だった,definition_variant,False,2819970,False,True,1,1,5,term_bank_173.json,698
50,1577980,いる,いる,37,いる,いる,definition_variant,False,1577980,False,True,2,1,12,term_bank_54.json,343
51,1259290,見る,みる,39,見る,みる,definition_variant,False,1259290,False,True,3,2,58,term_bank_23.json,903
52,1007130,そんな,そんな,40,そんな,そんな,definition_variant,False,1007130,False,True,1,1,11,term_bank_1.json,1648
53,1004200,けど,けど,41,けど,けど,definition_variant,False,1004200,False,True,2,1,4,term_bank_1.json,1008
54,1012480,もう,もう,42,もう,もう,definition_variant,False,1012480,False,True,1,1,29,term_bank_2.json,702
55,1525680,まで,まで,43,まで,まで,definition_variant,False,1525680,False,True,2,1,13,term_bank_48.json,1666
56,2086640,し,し,44,し,し,definition_variant,False,2086640;2843516,True,True,1,1,12,term_bank_104.json,138
57,2843516,し,し,44,し,し,definition_variant,False,2086640;2843516,True,False,1,1,5,term_bank_190.json,1869
58,2089690,お,お,45,お,お,definition_variant,False,2089690,False,False,1,1,2,term_bank_104.json,776
59,1288810,ここ,ここ,46,ここ,ここ,definition_variant,False,1288810,False,True,6,2,32,term_bank_26.json,386
60,2755350,じゃない,じゃない,47,じゃない,じゃない,definition_variant,False,2755350,False,True,1,1,5,term_bank_166.json,1803
61,1007310,だから,だから,48,だから,だから,definition_variant,False,1007310,False,True,1,1,12,term_bank_1.json,1680
62,1578850,行く,いく,49,行く,いく,definition_variant,False,1578850,False,True,4,4,180,term_bank_54.json,592
63,1928670,だろう,だろう,50,だろう,だろう,definition_variant,False,1928670,False,True,2,1,12,term_bank_88.json,1851
