jmdict_id,term,g,t,field_id,kind,severity,old,new,reason,shard,batch
2137720,然う,47,5,f109e419t5,example,major,你既然笨，他也就那样。,你很笨，他也一样。,日文表示‘你也笨，他也是’，原译将并列同样误译为因果关系。,1,2
2215430,には,50,15,f117e625t15,note,minor,表示对句子主语表示敬意,表示对句子主语的敬意,原译重复使用‘表示’，中文句法不通；英文 indicates respect for subject 要求表达对主语的敬意。,1,2
1007130,そんな,66,7,f1e1648t7,xref,minor,这种类型的；这种类型的；这样的；那样的,这种类型的；这种类型的；这样的；这样的,xref 英文为 this sort of; this kind of; like this; such，原译第三项虽为‘这样的’后第四项误写为‘那样的’。,1,2
1577100,ナニ,84,6,f54e66t6,gloss,major,那个东西,那个叫什么来着的人,英文 what's-his-name 指男性人物，原译‘那个东西’误作物体。,1,3
1577100,ナニ,84,7,f54e66t7,gloss,major,那个东西,那个叫什么来着的人,英文 what's-her-name 指女性人物，原译‘那个东西’误作物体。,1,3
1577100,ナニ,84,19,f54e66t19,example,minor,什么？做不到吗？你这个胆小鬼！你这个胆小鬼！,什么？做不到吗？你这个胆小鬼！你这个懦夫！,日文连续使用两个不同的侮辱语，原译将两个词重复译成‘胆小鬼’，遗漏差异。,1,3
2028960,や,95,3,f98e690t3,example,major,你很快就会熟悉这里的饮食方式吧。,你很快就会懂得享受这里的饮食了。,日文与英文表达逐渐懂得享受这里的食物和饮料，原译‘熟悉饮食方式’遗漏享受含义。,1,3
1591110,聞く,101,6,f56e684t6,gloss,minor,讯问,询问,英文 enquire 是一般询问，原译‘讯问’带有审讯含义，超出源义。,1,3
1392580,前,111,1,f36e596t1,gloss,minor,在……之前（如建筑物前）,在……前面（如建筑物前）,英文 before (e.g. a building) 此处是空间位置‘在建筑物前面’，原译‘在……之前’表示时间先后。,1,4
1338240,出る,123,68,f30e1850t68,gloss,major,获得,接（电话等）,"该 sense 与‘answer (phone, door, etc.)’同组，to get 指接到电话/应门，原译‘获得’改变为取得。",1,4
1338240,出る,123,81,f30e1850t81,gloss,major,高潮,射精,vulgar sense 的 cum 与 ejaculate 同义，原译‘高潮’指 orgasm，未表达射精动作。,1,4
1001090,うん,135,4,f1e176t4,example,major,“强度轻一点的话没问题。”“嗯，那么踢裆和戳眼睛算有效吗？”,“强度轻一点的话没问题。”“嗯，那么踢裆和捏爆眼睛算有效吗？”,英文 eyeball crushing、日文目潰し均为捏爆/弄瞎眼睛，原译‘戳眼睛’遗漏 crushing 的严重程度。,1,4
1281020,考える,146,11,f25e752t11,example,minor,思考是什么让人幸福，是有价值的。,思考是什么使人幸福是有价值的。,英文 It is worthwhile considering what it is that makes people happy，原译逗号切断主谓，中文不通。,1,5
1315720,持つ,149,7,f28e1481t7,example,minor,我持有ABC海外旅行障碍保险。,我持有ABC海外旅行保险。,英文仅为 ABC Travel Insurance，原译‘障碍保险’是将日文词形直译成不合中文的术语。,1,5
1000580,彼れ,152,3,f1e97t3,example,major,① 这个；这一个,那是这座城市的主干道。,日文与英文明确为远指‘那是这座城市的主干道’，原译错配为‘这个；这一个’。,1,5
1000580,彼れ,152,4,f1e97t4,xref,major,① 那个；它,这个；这个,xref 英文 this; this one，原译错配为‘那个；它’。,1,5
1000580,彼れ,152,5,f1e97t5,xref,major,① 哪一个（三者或以上）,那个；它,xref 英文 that; it，原译错配为‘哪一个（三者或以上）’。,1,5
1000580,彼れ,152,6,f1e97t6,xref,major,那个人,哪一个（三者或以上）,xref 英文 which (of three or more)，原译错配为‘那个人’。,1,5
1000580,彼れ,152,7,f1e97t7,gloss,major,用于指代与自己地位相当或比自己地位低的人,那个人,gloss that person，原译变成了说明句。,1,5
1000580,彼れ,152,8,f1e97t8,note,major,那时,用于指代与自己地位相当或比自己地位低的人,note 说明指代同等或地位较低者，原译‘那时’错义。,1,5
1000580,彼れ,152,9,f1e97t9,example,major,那个时间,对，那肯定没问题！,英文 sure thing 与日文 絶対大丈夫 为肯定没问题，原译‘那个时间’错配。,1,5
1000580,彼れ,152,10,f1e97t10,gloss,major,那个地方（在那边）,那么；然后,gloss then，原译‘那个地方（在那边）’错配。,1,5
1000580,彼れ,152,11,f1e97t11,gloss,major,下体（即生殖器）,那时,gloss that time，原译‘下体（即生殖器）’错配。,1,5
1000580,彼れ,152,12,f1e97t12,example,major,常写作“アレ”,说起来，从那时起已经过了30多年了呢。,英文和日文均为‘从那时起已经过了30多年’，原译变成书写说明。,1,5
1000580,彼れ,152,13,f1e97t13,gloss,major,月经,那个地方（在那里）,gloss that place (over there)，原译错配为‘月经’。,1,5
1000580,彼れ,152,14,f1e97t14,gloss,major,月事,下面（即生殖器）,gloss down there 指下体，原译‘月事’错义。,1,5
1000580,彼れ,152,16,f1e97t16,example,major,那样的,下面疼，下面。呃，怎么称呼来着？睾丸？总之是男性的‘重要部位’。,日文例句明确谈男性生殖器和睾丸，原译仅为‘那样的’且遗漏整句。,1,5
1000580,彼れ,152,17,f1e97t17,gloss,major,那种的,月经,gloss period，原译‘那种的’错配。,1,5
1000580,彼れ,152,18,f1e97t18,gloss,major,那样的,月事,gloss menses，原译‘那样的’错配。,1,5
1000580,彼れ,152,19,f1e97t19,note,major,那样的,常写作“アレ”,note oft. written as アレ，原译‘那样的’错配。,1,5
1414150,大丈夫,160,1,f38e770t1,gloss,minor,安全,安全可靠,secure 与 safe 不同，原译将整组不同 gloss 全部压成‘安全’。,1,5
1414150,大丈夫,160,2,f38e770t2,gloss,minor,安全,完好,sound 在此为状态完好，原译重复为‘安全’。,1,5
1414150,大丈夫,160,3,f38e770t3,gloss,minor,安全,没有问题,problem-free 应为没有问题，原译重复为‘安全’。,1,5
1414150,大丈夫,160,5,f38e770t5,gloss,minor,安全,没问题,all right 的常用义为没问题，原译重复为‘安全’。,1,5
1414150,大丈夫,160,6,f38e770t6,gloss,minor,安全,没问题,alright 的常用义为没问题，原译重复为‘安全’。,1,5
1414150,大丈夫,160,7,f38e770t7,gloss,minor,安全,可以,OK 应为可以，原译重复为‘安全’。,1,5
1414150,大丈夫,160,8,f38e770t8,gloss,minor,安全,可以,okay 应为可以，原译重复为‘安全’。,1,5
1414150,大丈夫,160,13,f38e770t13,gloss,minor,不用,不用了,no thanks 是礼貌拒绝，原译省略了语气词。,1,5
1414150,大丈夫,160,14,f38e770t14,gloss,minor,不用,我没事,I'm good 表示‘我没事/我很好’，原译‘不用’改变为拒绝。,1,5
1414150,大丈夫,160,15,f38e770t15,gloss,minor,不用,没关系,that's alright 表示没关系，原译‘不用’错义。,1,5
1414150,大丈夫,160,17,f38e770t17,gloss,major,大丈夫,伟人,great man 的译义是伟人，原译‘大丈夫’在中文中不是该义。,1,5
1414150,大丈夫,160,18,f38e770t18,gloss,major,大丈夫,堂堂男子汉,fine figure of a man 指堂堂男子汉，原译‘大丈夫’不自然且易误解。,1,5
1414150,大丈夫,160,19,f38e770t19,xref,major,同上,伟人；堂堂男子汉,xref 两个英文义项需分别对应，原译‘同上’丢失释义。,1,5
1004500,此方,192,20,f1e1070t20,example,major,这个人,姑妈，这是汤姆。,英文和日文是向姑妈介绍汤姆，原译仅‘这个人’遗漏句子信息。,1,6
1597890,作る,221,25,f57e1139t25,gloss,major,杜撰,创造（短语）,coin (a phrase) 指创造/新造短语，原译‘杜撰’带贬义且不是该基本义。,1,6
1009330,どんな,225,4,f2e63t4,xref,major,别这么大岁数还……,这种类型的；这种类型的；像这样的；这样的,xref 英文 this sort of; this kind of; like this; such，原译错配成无关句子。,1,6
1009330,どんな,225,5,f2e63t5,xref,major,不！,这样的；那种的；那种类型的；像那样,xref 英文 such; that sort of; that kind of; like that，原译‘不！’完全错义。,1,6
1266440,喚ぶ,239,14,f24e249t14,example,minor,这部电影获得了极大的关注。,这部电影大受欢迎。,英文 won great popularity、日文 大変な人気を呼んだ 表示大受欢迎，原译‘获得极大的关注’偏离 popularity。,1,7
1191730,家,242,7,f16e1688t7,example,major,那家（家庭）的繁荣是从二战时期开始的。,那家（家庭）的繁荣是从第一次世界大战时期开始的。,Great War 指第一次世界大战，原译‘二战时期’将战争对应错了。,1,7
1344930,女,299,3,f31e1031t3,example,major,① 男人；男性,他回来时，那个女人已经走开了。,英文与日文均为女人离开，原译错配为‘男人；男性’。,1,8
1344930,女,299,4,f31e1031t4,xref,major,情妇,① 男人；男性,xref 英文 man; male，原译‘情妇’错义。,1,8
1344930,女,299,5,f31e1031t5,gloss,minor,女朋友,女情人,female lover 指女性情人，使用‘女情人’与 girlfriend、mistress 区分。,1,8
1344930,女,299,6,f31e1031t6,gloss,major,情妇,女朋友,gloss girlfriend，原译‘情妇’错配。,1,8
1344930,女,299,7,f31e1031t7,gloss,major,（某人的）女人,情妇,gloss mistress，原译‘（某人的）女人’未表达婚外情人义。,1,8
1344930,女,299,8,f31e1031t8,gloss,minor,女人,（某人的）女人,gloss (someone's) woman，原译漏掉所属限定。,1,8
1593480,怖い,332,0,f56e1504t0,gloss,major,（水流）湍急的,恐怖的,scary 的普通义为恐怖，原译‘（水流）湍急的’与词头 怖い 不符。,1,8
1593480,怖い,332,1,f56e1504t1,gloss,major,（水流）湍急的,吓人的,frightening 为吓人的，原译错配为水流湍急。,1,8
1593480,怖い,332,2,f56e1504t2,gloss,major,（水流）湍急的,阴森的,eerie 为阴森的，原译错配为水流湍急。,1,8
1593480,怖い,332,3,f56e1504t3,gloss,major,轰隆隆,可怕的,dreadful 为可怕的，原译‘轰隆隆’完全错义。,1,8
1593480,怖い,332,4,f56e1504t4,example,major,轰隆,他想知道你是否怕蛇。,英文和日文均为询问是否怕蛇，原译‘轰隆’完全错义。,1,8
1169870,飲む,362,0,f14e1328t0,gloss,major,好，通宵饮酒吧。,喝,gloss to drink，原译为整句劝酒语，字段错配。,1,9
1169870,飲む,362,1,f14e1328t1,gloss,major,口服药,吞下,gloss to swallow，原译‘口服药’错配。,1,9
1169870,飲む,362,2,f14e1328t2,gloss,major,内服药,服用（药物）,gloss to take (medicine)，原译‘内服药’缺少动词且错配。,1,9
1169870,飲む,362,3,f14e1328t3,note,major,口服药,“呑む”指整吞或大口咽下,note 说明呑む的整吞/大口吞咽，原译‘口服药’错配。,1,9
1169870,飲む,362,4,f14e1328t4,example,major,内服药,我必须服用这种药吗？,英文与日文例句为是否必须服药，原译‘内服药’遗漏整句。,1,9
1169870,飲む,362,5,f14e1328t5,gloss,major,喝,抽烟,gloss to smoke (tobacco)，原译‘喝’错义。,1,9
1169870,飲む,362,6,f14e1328t6,gloss,major,吞下,吞没,swallow up 指吞没，原译‘吞下’不完整且字段需区分。,1,9
1169870,飲む,362,7,f14e1328t7,gloss,major,服用（药物）,吞噬,engulf 指吞噬，原译‘服用（药物）’错义。,1,9
1169870,飲む,362,8,f14e1328t8,note,major,吞下,通常用于被动形式,note usu. in the passive，原译‘吞下’错配。,1,9
1169870,飲む,362,9,f14e1328t9,gloss,major,吞下,压抑（愤怒、苦涩情感等）,suppress one's anger/feelings 指压抑情绪，原译‘吞下’遗漏对象。,1,9
1169870,飲む,362,10,f14e1328t10,gloss,major,吞下,忍住,keep down 在该 sense 指忍住，原译‘吞下’错配。,1,9
