list_position,jmdict_id,term,reading,frequency_rank,scope_band,previously_reviewed_5pct,previous_uncertain_fields,matched_frequency_word,matched_frequency_reading,match_kind,normalized_match,homograph_candidate_ids,homograph_ambiguous,high_priority,variant_count,review_group_count,review_field_count,example_field_count,all_variant_field_count,body_characters,representative_bank,representative_row_index_zero_based
1,1469800,の,の,1,已校对前5%,True,0,の,の,definition_variant,False,1469800,False,True,1,1,16,5,16,898,term_bank_43.json,1400
2,2028920,は,は,2,已校对前5%,True,0,は,は,definition_variant,False,2028920;2069620,True,True,1,1,7,3,7,365,term_bank_98.json,684
3,2069620,は,は,2,已校对前5%,True,0,は,は,definition_variant,False,2028920;2069620,True,False,6,1,8,1,48,159,term_bank_102.json,886
4,2028990,に,に,3,已校对前5%,True,0,に,に,definition_variant,False,2028990,False,True,1,1,127,23,127,4235,term_bank_98.json,693
5,2029010,を,を,4,已校对前5%,True,0,を,を,definition_variant,False,2029010,False,True,1,1,13,6,13,886,term_bank_98.json,696
6,2028930,が,が,5,已校对前5%,True,0,が,が,definition_variant,False,2028930;2872273,True,True,1,1,24,2,24,822,term_bank_98.json,685
7,2872273,が,が,5,已校对前5%,True,0,が,が,definition_variant,False,2028930;2872273,True,False,1,1,5,0,5,225,term_bank_218.json,833
8,1008490,と,と,6,已校对前5%,True,0,と,と,definition_variant,False,1008490,False,True,1,1,13,4,13,513,term_bank_1.json,1901
9,2028980,で,で,7,已校对前5%,True,0,で,で,definition_variant,False,2028980;2654270;2844355,True,True,1,1,23,4,23,825,term_bank_98.json,692
10,2654270,で,で,7,已校对前5%,True,0,で,で,definition_variant,False,2028980;2654270;2844355,True,False,2,2,42,0,42,1009,term_bank_157.json,380
11,2844355,で,で,7,已校对前5%,True,0,で,で,definition_variant,False,2028980;2654270;2844355,True,False,2,1,3,0,6,74,term_bank_191.json,1335
12,2028940,も,も,8,已校对前5%,True,0,も,も,definition_variant,False,2028940,False,True,1,1,30,2,30,690,term_bank_98.json,688
13,2089020,だ,だ,9,已校对前5%,True,0,だ,だ,definition_variant,False,2089020;2654250,True,True,1,1,5,0,5,43,term_bank_104.json,649
14,2654250,だ,だ,9,已校对前5%,True,0,だ,だ,definition_variant,False,2089020;2654250,True,False,2,1,6,1,12,215,term_bank_157.json,378
15,1157170,する,する,10,已校对前5%,True,0,する,する,definition_variant,False,1157170,False,True,2,2,110,14,110,3651,term_bank_13.json,851
16,1002980,から,から,11,已校对前5%,True,0,から,から,definition_variant,False,1002980,False,True,1,1,91,6,91,2917,term_bank_1.json,746
17,2028970,か,か,12,已校对前5%,True,0,か,か,definition_variant,False,2028970,False,True,1,1,86,10,86,2891,term_bank_98.json,691
18,2029090,よ,よ,13,已校对前5%,True,0,よ,よ,definition_variant,False,2029090,False,True,1,1,12,2,12,408,term_bank_98.json,709
19,2029110,な,な,14,已校对前5%,True,0,な,な,definition_variant,False,2029110,False,True,4,2,58,10,116,1788,term_bank_98.json,711
20,1628500,です,です,15,已校对前5%,True,0,です,です,definition_variant,False,1628500,False,True,1,1,4,1,4,73,term_bank_61.json,699
21,2524270,こと,こと,16,已校对前5%,True,0,こと,こと,definition_variant,False,2524270,False,False,1,1,7,0,7,286,term_bank_144.json,1500
22,2029080,ね,ね,17,已校对前5%,True,0,ね,ね,definition_variant,False,2029080;2841117,True,True,4,4,116,8,116,3192,term_bank_98.json,705
23,2841117,ね,ね,17,已校对前5%,True,0,ね,ね,definition_variant,False,2029080;2841117,True,False,4,1,8,1,32,230,term_bank_188.json,1410
24,2138260,なる,なる,19,已校对前5%,True,0,なる,なる,definition_variant,False,2138260,False,False,1,1,9,2,9,389,term_bank_109.json,523
25,1006970,それ,それ,20,已校对前5%,True,0,それ,それ,definition_variant,False,1006970;2216210,True,True,2,1,14,2,28,544,term_bank_1.json,1613
26,2216210,それ,それ,20,已校对前5%,True,0,それ,それ,definition_variant,False,1006970;2216210,True,False,2,1,7,0,14,167,term_bank_117.json,782
27,2849387,んだ,んだ,21,已校对前5%,True,0,んだ,んだ,definition_variant,False,2849370;2849387,True,True,2,1,7,0,14,325,term_bank_196.json,596
28,2849370,んだ,んだ,21,已校对前5%,True,0,んだ,んだ,definition_variant,False,2849370;2849387,True,False,1,1,3,0,3,26,term_bank_196.json,568
29,2086960,って,って,22,已校对前5%,True,0,って,って,definition_variant,False,2086960,False,True,2,2,56,4,56,1694,term_bank_104.json,209
30,2139720,ん,ん,23,已校对前5%,True,0,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,1,1,17,0,17,305,term_bank_109.json,835
31,2441300,ん,ん,23,已校对前5%,True,0,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,2,1,3,0,6,95,term_bank_137.json,1262
32,2759530,ん,ん,23,已校对前5%,True,0,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,3,1,3,1,9,182,term_bank_167.json,609
33,2843960,ん,ん,23,已校对前5%,True,0,ん,ん,definition_variant,False,2139720;2441300;2759530;2843960,True,False,2,1,5,0,10,102,term_bank_191.json,620
34,1006830,その,その,24,已校对前5%,True,0,その,その,definition_variant,False,1006830,False,True,3,1,12,1,36,469,term_bank_1.json,1561
35,1587040,言う,いう,25,已校对前5%,True,0,言う,いう,definition_variant,False,1587040,False,True,6,2,18,4,54,524,term_bank_55.json,1107
36,1582920,この,この,26,已校对前5%,True,0,この,この,definition_variant,False,1582920,False,True,4,1,14,2,56,536,term_bank_54.json,1803
37,1006610,そう,そう,27,已校对前5%,True,0,そう,そう,definition_variant,False,1006610;2137720,True,True,1,1,6,1,6,177,term_bank_1.json,1505
38,2137720,そう,そう,27,已校对前5%,True,0,そう,そう,definition_variant,False,1006610;2137720,True,True,2,2,32,6,32,1644,term_bank_109.json,418
39,1008460,でも,でも,28,已校对前5%,True,0,でも,でも,definition_variant,False,1008460,False,True,1,1,28,3,28,712,term_bank_1.json,1897
40,1005340,さん,さん,29,已校对前5%,True,0,さん,さん,definition_variant,False,1005340,False,True,1,1,11,2,11,328,term_bank_1.json,1270
41,2215430,には,には,30,已校对前5%,True,0,には,には,definition_variant,False,2215430,False,True,1,1,22,5,22,856,term_bank_117.json,625
